year,month,start,endofperiod,sales,value(E),unsold(Kg)
1994,1,1/1/1994,31/1/1994,436792,732324,41754
1994,2,1/2/1994,28/2/1994,473758,807406,28020
1994,3,1/3/1994,31/3/1994,546170,988522,42205
1994,4,1/4/1994,30/4/1994,459615,940744,20357
1994,5,1/5/1994,31/5/1994,411415,809627,23613
1994,6,1/6/1994,30/6/1994,306560,524344,26572
1994,7,1/7/1994,31/7/1994,301890,464528,62787
1994,8,1/8/1994,31/8/1994,260830,501353,29149
1994,9,1/9/1994,30/9/1994,361161,703725,39942
1994,10,1/10/1994,31/10/1994,450326,920616,6724
1994,11,1/11/1994,30/11/1994,516199,1060661,20990
1994,12,1/12/1994,31/12/1994,354209,920286,24590
1995,1,1/1/1995,31/1/1995,355734,806875,14504
1995,2,1/2/1995,28/2/1995,382904,816306,28339
1995,3,1/3/1995,31/3/1995,383923,841884,7226
1995,4,1/4/1995,30/4/1995,450366,974031,12098
1995,5,1/5/1995,31/5/1995,371283,696207,18887
1995,6,1/6/1995,30/6/1995,256929,446678,37218
1995,7,1/7/1995,31/7/1995,269599,482001,46367
1995,8,1/8/1995,31/8/1995,302852,585078,61899
1995,9,1/9/1995,30/9/1995,271167,578407,13369
1995,10,1/10/1995,31/10/1995,412739,888449,14480
1995,11,1/11/1995,30/11/1995,399203,823471,25788
1995,12,1/12/1995,31/12/1995,282041,638928,25859
1996,1,1/1/1996,31/1/1996,460103,858975,0
1996,2,1/2/1996,29/2/1996,427877,781369,0
1996,3,1/3/1996,31/3/1996,521463,909744,0
1996,4,1/4/1996,30/4/1996,519614,1025115,23434
1996,5,1/5/1996,31/5/1996,407720,644535,6183
1996,6,1/6/1996,30/6/1996,189784,360679,5531
1996,7,1/7/1996,31/7/1996,263509,467409,34662
1996,8,1/8/1996,31/8/1996,286206,471507,28941
1996,9,1/9/1996,30/9/1996,221710,448849,2593
1996,10,1/10/1996,31/10/1996,328854,775213,1810
1996,11,1/11/1996,30/11/1996,300185,711172,14471
1996,12,1/12/1996,31/12/1996,275264,734304,29999
1997,1,1/1/1997,31/1/1997,446379,847706,31991
1997,2,1/2/1997,28/2/1997,250852,461392,7806
1997,3,1/3/1997,31/3/1997,439089,818484,29232
1997,4,1/4/1997,30/4/1997,302958,643967,6625
1997,5,1/5/1997,31/5/1997,309495,616379,15543
1997,6,1/6/1997,30/6/1997,145684,303678,14413
1997,7,1/7/1997,31/7/1997,232290,388744,16605
1997,8,1/8/1997,31/8/1997,256961,452371,27582
1997,9,1/9/1997,30/9/1997,236714,523139,10323
1997,10,1/10/1997,31/10/1997,925278,2255018,3131
1997,11,1/11/1997,30/11/1997,728470,1680001,11092
1997,12,1/12/1997,31/12/1997,462643,1298945,8763
1998,1,1/1/1998,31/1/1998,484893,1182882,8649
1998,2,1/2/1998,28/2/1998,697247,1709904,12002
1998,3,1/3/1998,31/3/1998,463506,1165983,12758
1998,4,1/4/1998,30/4/1998,497876,1244913,11180
1998,5,1/5/1998,31/5/1998,324649,727481,6270
1998,6,1/6/1998,30/6/1998,150101,311142,1744
1998,7,1/7/1998,31/7/1998,163535,373262,1903
1998,8,1/8/1998,31/8/1998,283987,591453,9615
1998,9,1/9/1998,30/9/1998,285242,570864,11269
1998,10,1/10/1998,31/10/1998,484892,1109156,22028
1998,11,1/11/1998,30/11/1998,644254,1513309,41794
1998,12,1/12/1998,31/12/1998,386217,1140572,24794
1999,1,1/1/1999,31/1/1999,305216,743586,3221
1999,2,1/2/1999,28/2/1999,454586,1029270,6050
1999,3,1/3/1999,31/3/1999,512900,1259721,1054
1999,4,1/4/1999,30/4/1999,360942,919847,7532
1999,5,1/5/1999,31/5/1999,380066,855856,11783
1999,6,1/6/1999,30/6/1999,230798,445292,12342
1999,7,1/7/1999,31/7/1999,198922,424091,8460
1999,8,1/8/1999,31/8/1999,243066,519221,12086
1999,9,1/9/1999,30/9/1999,196992,451225,6109
1999,10,1/10/1999,31/10/1999,393526,1022960,16235
1999,11,1/11/1999,30/11/1999,329983,872065,8164
1999,12,1/12/1999,31/12/1999,252099,880068,8209
2000,1,1/1/2000,31/1/2000,427641,1039931,8597
2000,2,1/2/2000,29/2/2000,333567,925082,5646
2000,3,1/3/2000,31/3/2000,387217,1078230,1204
2000,4,1/4/2000,30/4/2000,316550,880295,2813
2000,5,1/5/2000,31/5/2000,260341,632383,2533
2000,6,1/6/2000,30/6/2000,166507,407810,4609
2000,7,1/7/2000,31/7/2000,166093,427562,3135
2000,8,1/8/2000,31/8/2000,266741,593976,16319
2000,9,1/9/2000,30/9/2000,287858,617130,5826
2000,10,1/10/2000,31/10/2000,354832,1004991,13133
2000,11,1/11/2000,30/11/2000,280641,824590,16548
2000,12,1/12/2000,31/12/2000,299529,1088368,12967
2001,1,1/1/2001,31/1/2001,364344,1033537,5618
2001,2,1/2/2001,28/2/2001,404711,1067092,9316
2001,3,1/3/2001,31/3/2001,365053,1037329,3811
2001,4,1/4/2001,30/4/2001,343518,962821,610
2001,5,1/5/2001,31/5/2001,234652,830570,368
2001,6,1/6/2001,30/6/2001,191788,571011,2085
2001,7,1/7/2001,31/7/2001,225872,560968,17355
2001,8,1/8/2001,31/8/2001,253738,619226,36076
2001,9,1/9/2001,30/9/2001,225742,517802,1146
2001,10,1/10/2001,31/10/2001,472846,1313325,9506
2001,11,1/11/2001,30/11/2001,633196,1389296,21052
2001,12,1/12/2001,31/12/2001,405713,1188188,13545
2002,1,1/1/2002,31/1/2002,396715,992973,12908
2002,2,1/2/2002,28/2/2002,292899,884693,3646
2002,3,1/3/2002,31/3/2002,542159,1548856,11696
2002,4,1/4/2002,30/4/2002,438818,1077751,6840
2002,5,1/5/2002,31/5/2002,253665,609574,1660
2002,6,1/6/2002,30/6/2002,202598,463946,6390
2002,7,1/7/2002,31/7/2002,272626,568938,22342
2002,8,1/8/2002,31/8/2002,285068,642991,11854
2002,9,1/9/2002,30/9/2002,260022,645687,3746
2002,10,1/10/2002,31/10/2002,410072,1047888,21493
2002,11,1/11/2002,30/11/2002,471548,969730,15304
2002,12,1/12/2002,31/12/2002,356244,1003739,10248
2003,1,1/1/2003,31/1/2003,392260,901628,1140
2003,2,1/2/2003,28/2/2003,407248,982281,7909
2003,3,1/3/2003,31/3/2003,481205,1123172,4656
2003,4,1/4/2003,30/4/2003,496741,966402,4618
2003,5,1/5/2003,31/5/2003,278417,615578,3919
2003,6,1/6/2003,30/6/2003,216089,473257,33737
2003,7,1/7/2003,31/7/2003,281065,497998,20431
2003,8,1/8/2003,31/8/2003,235963,554060,20897
2003,9,1/9/2003,30/9/2003,260573,546595,3676
2003,10,1/10/2003,31/10/2003,329217,883822,9831
2003,11,1/11/2003,30/11/2003,443049,1153041,28160
2003,12,1/12/2003,31/12/2003,319818,1011751,9349
2004,1,1/1/2004,31/1/2004,338283,953294,1126
2004,2,1/2/2004,29/2/2004,369367,967668,3897
2004,3,1/3/2004,31/3/2004,497947,1328866,611
2004,4,1/4/2004,30/4/2004,398104,991236,2183
2004,5,1/5/2004,31/5/2004,173951,442645,661
2004,6,1/6/2004,30/6/2004,219877,474663,5005
2004,7,1/7/2004,31/7/2004,255339,534226,9054
2004,8,1/8/2004,31/8/2004,216687,507141,13697
2004,9,1/9/2004,30/9/2004,286136,574095,3225
2004,10,1/10/2004,31/10/2004,427664,972208,10283
2004,11,1/11/2004,30/11/2004,654505,998009,12568
2004,12,1/12/2004,31/12/2004,414972,1058845,26426
2005,1,1/1/2005,31/1/2005,433833,952277,-9053
2005,2,1/2/2005,28/2/2005,391276,804959,18461
2005,3,1/3/2005,31/3/2005,387517,876426,4374
2005,4,1/4/2005,30/4/2005,330683,742418,12203
2005,5,1/5/2005,31/5/2005,222823,415325,-16188
2005,6,1/6/2005,30/6/2005,262739,417573,14930
2005,7,1/7/2005,31/7/2005,181373,371428,11057
2005,8,1/8/2005,31/8/2005,237759,431476,11834
2005,9,1/9/2005,30/9/2005,232325,489235,8266
2005,10,1/10/2005,31/10/2005,423419,896236,12411
2005,11,1/11/2005,30/11/2005,628398,1005156,7769
2005,12,1/12/2005,31/12/2005,342584,912698,5104
2006,1,1/1/2006,31/1/2006,353544,699575,27092
2006,2,1/2/2006,28/2/2006,259242,553309,3735
2006,3,1/3/2006,31/3/2006,310683,759781,434
2006,4,1/4/2006,30/4/2006,339064,797321,3068
2006,5,1/5/2006,31/5/2006,240004,430508,5461
2006,6,1/6/2006,30/6/2006,255162,425585,3816
2006,7,1/7/2006,31/7/2006,140181,326902,7839
2006,8,1/8/2006,31/8/2006,193922,458606,2932
2006,9,1/9/2006,30/9/2006,205328,481425,660
2006,10,1/10/2006,31/10/2006,396005,966416,22688
2006,11,1/11/2006,30/11/2006,535589,956121,-10128
2006,12,1/12/2006,31/12/2006,460154,1491733,2268
2007,1,1/1/2007,31/1/2007,312348,896532,1629
2007,2,1/2/2007,28/2/2007,380481,998962,11373
2007,3,1/3/2007,31/3/2007,413844,1173088,1939
2007,4,1/4/2007,30/4/2007,349161,920561,10850
2007,5,1/5/2007,31/5/2007,164534,344829,2037
2007,6,1/6/2007,30/6/2007,157299,344796,2792
2007,7,1/7/2007,31/7/2007,165784,363856,1392
2007,8,1/8/2007,31/8/2007,211268,474161,5772
2007,9,1/9/2007,30/9/2007,161161,362911,1105
2007,10,1/10/2007,31/10/2007,464969,1112872,79365
2007,11,1/11/2007,30/11/2007,434879,905791,21484
2007,12,1/12/2007,31/12/2007,252738,806571,2831
2008,1,1/1/2008,31/1/2008,223136,633101,117
2008,2,1/2/2008,29/2/2008,280111,718993,4741
2008,3,1/3/2008,31/3/2008,238223,602490,455
2008,4,1/4/2008,30/4/2008,294239,704617,59878
2008,5,1/5/2008,31/5/2008,72563,162701,85473
2008,6,1/6/2008,30/6/2008,56883,117251,1108
2008,7,1/7/2008,31/7/2008,77443,189262,1498
2008,8,1/8/2008,31/8/2008,91131,155129,2455
2008,9,1/9/2008,30/9/2008,108056,226217,1606
2008,10,1/10/2008,31/10/2008,252449,612712,916
2008,11,1/11/2008,30/11/2008,207812,527108,1509
2008,12,1/12/2008,31/12/2008,291866,903103,7439
2009,1,1/1/2009,31/1/2009,296374,655551,36257
2009,2,1/2/2009,28/2/2009,245169,499539,15701
2009,3,1/3/2009,31/3/2009,228386,582811,5620
2009,4,1/4/2009,30/4/2009,227667,489350,12338
2009,5,1/5/2009,31/5/2009,107173,194828,3145
2009,6,1/6/2009,30/6/2009,75175,141287,1845
2009,7,1/7/2009,31/7/2009,93411,145996,4875
2009,8,1/8/2009,31/8/2009,153268,250330,20747
2009,9,1/9/2009,30/9/2009,148794,273427,10093
2009,10,1/10/2009,31/10/2009,264179,532819,20331
2009,11,1/11/2009,30/11/2009,170383,396651,6292
2009,12,1/12/2009,31/12/2009,294862,849834,22171
2010,1,1/1/2010,31/1/2010,301000,596582,21758
2010,2,1/2/2010,28/2/2010,245986,525469,5733
2010,3,1/3/2010,31/3/2010,289685,742986,14748
2010,4,1/4/2010,30/4/2010,235757,671934,22147
2010,5,1/5/2010,31/5/2010,250308,776903,-8272
2010,6,1/6/2010,30/6/2010,176644,619345,2896
2010,7,1/7/2010,31/7/2010,110687,341696,3325
2010,8,1/8/2010,31/8/2010,157165,405877,2104
2010,9,1/9/2010,30/9/2010,154399,392383,318
2010,10,1/10/2010,31/10/2010,326276,801837,5801
2010,11,1/11/2010,30/11/2010,354238,969931,5633
2010,12,1/12/2010,31/12/2010,310187,1012431,13944
2011,1,1/1/2011,31/1/2011,330653,896461,705
2011,2,1/2/2011,28/2/2011,389569,963762,640
2011,3,1/3/2011,31/3/2011,394906,1031051,956
2011,4,1/4/2011,30/4/2011,336644,882258,5819
2011,5,1/5/2011,31/5/2011,302163,795750,3801
2011,6,1/6/2011,30/6/2011,158360,492005,2552
2011,7,1/7/2011,31/7/2011,84774,315547,299
2011,8,1/8/2011,31/8/2011,167927,394621,3888
2011,9,1/9/2011,30/9/2011,165398,370725,1592
2011,10,1/10/2011,31/10/2011,312513,759962,217
2011,11,1/11/2011,30/11/2011,424506,1167721,387
2011,12,1/12/2011,31/12/2011,396311,1443240,6240
2012,1,1/1/2012,31/1/2012,334491,887210,849
2012,2,1/2/2012,29/2/2012,338294,929997,1380
2012,3,1/3/2012,31/3/2012,392808,1089613,1205
2012,4,1/4/2012,30/4/2012,186117,590540,350
2012,5,1/5/2012,31/5/2012,236414,700891,2796
2012,6,1/6/2012,30/6/2012,115940,385233,5963
2012,7,1/7/2012,31/7/2012,115339,286638,4202
2012,8,1/8/2012,31/8/2012,137073,313391,3658
2012,9,1/9/2012,30/9/2012,150614,308947,3174
2012,10,1/10/2012,31/10/2012,424087,967693,33829
2012,11,1/11/2012,30/11/2012,308766,853574,5519
2012,12,1/12/2012,31/12/2012,342679,891007,11155
2013,1,1/1/2013,31/1/2013,266180,600839,16449
2013,2,1/2/2013,28/2/2013,184735,465541,8935
2013,3,1/3/2013,31/3/2013,233105,620400,2067
2013,4,1/4/2013,30/4/2013,242335,698653,2765
2013,5,1/5/2013,31/5/2013,188600,484398,3427
2013,6,1/6/2013,30/6/2013,116824,288598,2883
2013,7,1/7/2013,31/7/2013,157889,370200,5859
2013,8,1/8/2013,31/8/2013,136274,293630,19211
2013,9,1/9/2013,30/9/2013,70282,221709,2062
2013,10,1/10/2013,31/10/2013,488142,1190578,504
2013,11,1/11/2013,30/11/2013,341112,1036566,161
2013,12,1/12/2013,31/12/2013,441408,1357731,1435
2014,1,1/1/2014,31/1/2014,350473,870968,126
2014,2,1/2/2014,28/2/2014,268147,698570,171
2014,3,1/3/2014,31/3/2014,541530,1319505,1421
2014,4,1/4/2014,30/4/2014,452016,1233389,-1216
2014,5,1/5/2014,31/5/2014,164168,421023,113
2014,6,1/6/2014,30/6/2014,140016,316639,1109
2014,7,1/7/2014,31/7/2014,135513,412652,185
2014,8,1/8/2014,31/8/2014,95901,275890,14
2014,9,1/9/2014,30/9/2014,106638,274999,274
2014,10,1/10/2014,31/10/2014,304701,954310,477
2014,11,1/11/2014,30/11/2014,283539,997900,1508
2014,12,1/12/2014,31/12/2014,328176,1391373,2496
2015,1,1/1/2015,31/1/2015,221183,829389,675
2015,2,1/2/2015,28/2/2015,235791,892211,0
2015,3,1/3/2015,31/3/2015,229275,889232,25
2015,4,1/4/2015,30/4/2015,200797,721696,0
2015,5,1/5/2015,31/5/2015,150400,381650,280
2015,6,1/6/2015,30/6/2015,92560,273522,3
2015,7,1/7/2015,31/7/2015,60645,172237,0
2015,8,1/8/2015,31/8/2015,97807,222131,0
2015,9,1/9/2015,30/9/2015,92151,223613,0
2015,10,1/10/2015,31/10/2015,237973,767439,50
2015,11,1/11/2015,30/11/2015,273966,893894,0
2015,12,1/12/2015,31/12/2015,457810,1670839,74
2016,1,1/1/2016,31/1/2016,236969,821786,0
2016,2,1/2/2016,29/2/2016,179656,650530,0
2016,3,1/3/2016,31/3/2016,198566,693657,535
2016,4,1/4/2016,30/4/2016,216568,729928,50
2016,5,1/5/2016,31/5/2016,195849,586488,0
2016,6,1/6/2016,30/6/2016,89190,239223,0
2016,7,1/7/2016,31/7/2016,94016,174930,0
2016,8,1/8/2016,31/8/2016,106515,288465,568
2016,9,1/9/2016,30/9/2016,60373,211964,82
2016,10,1/10/2016,31/10/2016,493356,1493264,0
2016,11,1/11/2016,30/11/2016,271268,1128087,675
2016,12,1/12/2016,31/12/2016,511843,1855870,1
2017,1,1/1/2017,31/1/2017,340958,1107386,0
2017,2,1/2/2017,28/2/2017,277674,964104,0
2017,3,1/3/2017,31/3/2017,283335,1011103,0
2017,4,1/4/2017,30/4/2017,293366,992691,0
2017,5,1/5/2017,31/5/2017,150201,524569,0
2017,6,1/6/2017,30/6/2017,76878,257545,0
2017,7,1/7/2017,31/7/2017,109999,287223,110
2017,8,1/8/2017,31/8/2017,124113,401421,350
2017,9,1/9/2017,30/9/2017,85873,264100,0
2017,10,1/10/2017,31/10/2017,432146,1339892,42049
2017,11,1/11/2017,30/11/2017,535856,1763276,0
2017,12,1/12/2017,31/12/2017,605243,2033672,7081
2018,1,1/1/2018,31/1/2018,458088,1402053,8396
2018,2,1/2/2018,28/2/2018,358836,1072376,0
2018,3,1/3/2018,31/3/2018,438527,1363422,108
2018,4,1/4/2018,30/4/2018,397900,1179807,6298
2018,5,1/5/2018,31/5/2018,187756,671176,0
2018,6,1/6/2018,30/6/2018,92236,310379,0
2018,7,1/7/2018,31/7/2018,94658,295144,0
2018,8,1/8/2018,31/8/2018,82597,258535,0
2018,9,1/9/2018,30/9/2018,71504,262653,0
2018,10,1/10/2018,31/10/2018,417304,1210065,7325
2018,11,1/11/2018,30/11/2018,421001,1181815,20164
2018,12,1/12/2018,31/12/2018,557513,1635158,7669
2019,1,1/1/2019,31/1/2019,652310,1595188,0
2019,2,1/2/2019,28/2/2019,630953,1406242,0
2019,3,1/3/2019,31/3/2019,544266,1114121,0
2019,4,1/4/2019,30/4/2019,463168,1090849,25
2019,5,1/5/2019,31/5/2019,273062,660774,0
2019,6,1/6/2019,30/6/2019,112045,258778,0
2019,7,1/7/2019,31/7/2019,126356,294172,0
2019,8,1/8/2019,31/8/2019,91717,252788,0
2019,9,1/9/2019,30/9/2019,69485,217021,0
2019,10,1/10/2019,31/10/2019,557541,1785946,0
2019,11,1/11/2019,30/11/2019,551649,1894700,0
2019,12,1/12/2019,31/12/2019,684516,2404245,0
2020,1,1/1/2020,31/1/2020,614265,1520197,0
2020,2,1/2/2020,29/2/2020,457718,1161239,0
2020,3,1/3/2020,31/3/2020,517769,1164086,0
2020,4,1/4/2020,30/4/2020,474270,1132632,0
2020,5,1/5/2020,31/5/2020,265936,567504,0
2020,6,1/6/2020,30/6/2020,160410,311931,0
2020,7,1/7/2020,31/7/2020,163852,287033,0
2020,8,1/8/2020,31/8/2020,119612,310875,0
2020,9,1/9/2020,30/9/2020,142726,249527,623
